instrument,treatment_def,outcome,outcome_label,panel,spec,treatment,n_first_stage,first_stage_coef,first_stage_pval,n_outcome,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
ep_galtan,polyarchy_decline,Y_gdp_growth_wb,World Bank,growth,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,41,0.3951757963854794,0.2918728548896942,0.1757582937865889,-16.124014485916696,41.12857343253627,0.695029223799329,8.101321699977177
ep_galtan,polyarchy_decline,Y_gdp_growth_imf,IMF WEO,growth,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,34,-0.3997496690610389,0.367589659567981,0.276820808071362,-1.5030297531454568,6.410712886464296,0.8146310302264264,4.956067705657644
ep_galtan,polyarchy_decline,Y_inflation,"CPI, cumulative log",inflation,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,37,0.14133016209522348,0.12099242864527857,0.242770076501599,-10.999278737139218,84.43878200102678,0.8963580742590408,12.656947385599828
ep_galtan,polyarchy_decline,Y_unemployment,Unemployment rate,unemployment,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,38,-3.8573183102376274,3.2183434537016926,0.23070626247351575,112.9137659548228,191.2868269739677,0.554999519428375,11.420174605789123
ep_galtan,polyarchy_decline,Y_trade_pct_gdp,Trade / GDP,trade,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,37,-10.081151884635894,11.701922038161026,0.38896525934344023,505.2797636230971,2801.084439765489,0.8568486067422042,9.518826526363148
ep_galtan,polyarchy_decline,Y_top10_share,Top-10% income share,top10,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,41,1.8167576614733676,3.091852368621524,0.5568040226671709,-81.03223154882815,415.039889430399,0.8452053611921544,13.04250732269816
ep_galtan,polyarchy_decline,Y_gini_disp,Disposable,gini,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,34,0.01711936962050586,1.6111809008213973,0.9915223525239858,3.3147541464069903,430.4207207040593,0.9938553956948896,11.502266694530627
ep_galtan,polyarchy_decline,Y_gini_mkt,Market,gini,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,34,-0.4997976788750924,1.914471981492256,0.7940439725562047,-170.91499661277214,1051.5129463378069,0.8708790722902017,10.162282253082903
ep_galtan,polyarchy_decline,Y_debt,Debt / GDP,fiscal,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,41,-18.655667595405177,11.065050763103221,0.09179593846231723,714.7573549180089,1684.0007834880594,0.6712449271888383,10.653608593154132
ep_galtan,polyarchy_decline,Y_deficit,Deficit / GDP,fiscal,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,41,0.8372977479459396,2.786523339479257,0.7638101697824162,0.876388072332869,205.11112344490027,0.9965908509845788,9.554766741750084
ep_galtan,polyarchy_decline,Y_checks_balances,Checks & balances,institutions,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,42,0.06407767350928657,0.05187372351284198,0.2167327670549089,-1.2633986028609097,0.8732921951393061,0.14797878778209525,9.385824485297364
ep_galtan,polyarchy_decline,Y_jucon,Judicial constraints,institutions,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,42,0.05219637308344555,0.04756377540871612,0.2724676211657027,-1.0500396727280157,0.6959915681570743,0.1313764963684547,8.970583727398726
ep_galtan,polyarchy_decline,Y_legcon,Legislative constraints,institutions,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,42,0.07608695972394401,0.05761098978712888,0.18660068737962132,-1.4637822222831205,1.138042392667305,0.19836343080390537,9.45916538773
ep_galtan,polyarchy_decline,Y_hos_power,HOS,exec_power,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,42,0.18757339267029496,0.1114962694308282,0.09250508637629792,-3.4541572477206515,5.511774018061182,0.530864412309237,9.078830199213415
ep_galtan,polyarchy_decline,Y_hog_power,HOG,exec_power,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,41,-0.04447534204767658,0.03044912838164313,0.1441131161829114,0.9450726281338224,1.2708482873025877,0.4570852462701615,10.243895810819764
ep_galtan,polyarchy_decline,Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,42,0.19555737355100888,0.1501422182632309,0.19275203855991704,-3.68117498769105,7.483505797765567,0.6227864025630301,10.527559908005678
ep_galtan,polyarchy_decline,Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-galtan_w5_trt-polyarchy_gapany_illibany,polyarchy_decline,42,-0.04863315737230046,0.25755745315101236,42,-0.09777868677550432,0.07507110913161545,0.19275203855991752,1.840587493845473,3.741752898882818,0.6227864025630431,10.527559908005088
